date,location,vaccine,total_vaccinations
2021-06-05,Lithuania,Moderna,1884
2021-06-06,Lithuania,Moderna,1884
2021-06-07,Lithuania,Moderna,1884
2021-06-08,Lithuania,Moderna,1884
2021-06-09,Lithuania,Moderna,1884
2021-06-10,Lithuania,Moderna,1884
2021-06-11,Lithuania,Moderna,2574
2021-06-12,Lithuania,Moderna,2574
2021-06-13,Lithuania,Moderna,2574
2021-06-14,Lithuania,Moderna,2574
2021-06-15,Lithuania,Moderna,2574
2021-06-16,Lithuania,Moderna,2574
2021-06-17,Lithuania,Moderna,2574
2021-06-18,Lithuania,Moderna,1023
2021-06-19,Lithuania,Moderna,1023
2021-06-20,Lithuania,Moderna,1023
2021-06-21,Lithuania,Moderna,1023
2021-06-22,Lithuania,Moderna,1023
2021-06-23,Lithuania,Moderna,1023
2021-06-24,Lithuania,Moderna,1023
2021-06-25,Lithuania,Moderna,1098
2021-06-26,Lithuania,Moderna,1098
2021-06-27,Lithuania,Moderna,1098
2021-06-28,Lithuania,Moderna,1098
2021-06-29,Lithuania,Moderna,1098
2021-06-30,Lithuania,Moderna,1098
2021-07-01,Lithuania,Moderna,1098
2021-07-02,Lithuania,Moderna,578
2021-07-03,Lithuania,Moderna,578
2021-07-04,Lithuania,Moderna,578
2021-07-05,Lithuania,Moderna,578
2021-07-06,Lithuania,Moderna,578
2021-07-07,Lithuania,Moderna,578
2021-07-08,Lithuania,Moderna,578
2021-07-09,Lithuania,Moderna,615
2021-07-10,Lithuania,Moderna,615
2021-07-11,Lithuania,Moderna,615
2021-07-12,Lithuania,Moderna,615
2021-07-13,Lithuania,Moderna,615
2021-07-14,Lithuania,Moderna,615
2021-07-15,Lithuania,Moderna,615
2021-07-16,Lithuania,Moderna,666
2021-07-17,Lithuania,Moderna,666
2021-07-18,Lithuania,Moderna,666
2021-07-19,Lithuania,Moderna,666
2021-07-20,Lithuania,Moderna,666
2021-07-21,Lithuania,Moderna,666
2021-07-22,Lithuania,Moderna,666
2021-07-23,Lithuania,Moderna,725
2021-07-24,Lithuania,Moderna,725
2021-07-25,Lithuania,Moderna,725
2021-07-26,Lithuania,Moderna,725
2021-07-27,Lithuania,Moderna,725
2021-07-28,Lithuania,Moderna,725
2021-07-29,Lithuania,Moderna,725
2021-07-30,Lithuania,Moderna,735
2021-07-31,Lithuania,Moderna,735
2021-08-01,Lithuania,Moderna,735
2021-08-02,Lithuania,Moderna,735
2021-08-03,Lithuania,Moderna,735
2021-08-04,Lithuania,Moderna,735
2021-08-05,Lithuania,Moderna,735
2021-08-06,Lithuania,Moderna,573
2021-08-07,Lithuania,Moderna,573
2021-08-08,Lithuania,Moderna,573
2021-08-09,Lithuania,Moderna,573
2021-08-10,Lithuania,Moderna,573
2021-08-11,Lithuania,Moderna,573
2021-08-12,Lithuania,Moderna,573
2021-08-13,Lithuania,Moderna,830
2021-08-14,Lithuania,Moderna,830
2021-08-15,Lithuania,Moderna,830
2021-08-16,Lithuania,Moderna,830
2021-08-17,Lithuania,Moderna,830
2021-08-18,Lithuania,Moderna,830
2021-08-19,Lithuania,Moderna,830
2021-08-20,Lithuania,Moderna,823
2021-08-21,Lithuania,Moderna,823
2021-08-22,Lithuania,Moderna,823
2021-08-23,Lithuania,Moderna,823
2021-08-24,Lithuania,Moderna,823
2021-08-25,Lithuania,Moderna,823
2021-08-26,Lithuania,Moderna,823
2021-08-27,Lithuania,Moderna,636
2021-08-28,Lithuania,Moderna,636
2021-08-29,Lithuania,Moderna,636
2021-08-30,Lithuania,Moderna,636
2021-08-31,Lithuania,Moderna,636
2021-09-01,Lithuania,Moderna,636
2021-09-02,Lithuania,Moderna,636
2021-09-03,Lithuania,Moderna,633
2021-09-04,Lithuania,Moderna,633
2021-09-05,Lithuania,Moderna,633
2021-09-06,Lithuania,Moderna,633
2021-09-07,Lithuania,Moderna,633
2021-09-08,Lithuania,Moderna,633
2021-09-09,Lithuania,Moderna,633
2021-09-10,Lithuania,Moderna,646
2021-09-11,Lithuania,Moderna,646
