date,location,vaccine,total_vaccinations
2021-03-04,Malta,Moderna,13
2021-03-05,Malta,Oxford/AstraZeneca,2139
2021-03-05,Malta,Moderna,53
2021-03-06,Malta,Oxford/AstraZeneca,2139
2021-03-06,Malta,Moderna,53
2021-03-07,Malta,Oxford/AstraZeneca,2139
2021-03-07,Malta,Moderna,53
2021-03-08,Malta,Oxford/AstraZeneca,2139
2021-03-08,Malta,Moderna,53
2021-03-09,Malta,Oxford/AstraZeneca,2139
2021-03-09,Malta,Moderna,53
2021-03-10,Malta,Oxford/AstraZeneca,2139
2021-03-10,Malta,Moderna,53
2021-03-11,Malta,Oxford/AstraZeneca,2139
2021-03-11,Malta,Moderna,53
2021-03-12,Malta,Oxford/AstraZeneca,1520
2021-03-12,Malta,Moderna,231
2021-03-13,Malta,Oxford/AstraZeneca,1520
2021-03-13,Malta,Moderna,231
2021-03-14,Malta,Oxford/AstraZeneca,1520
2021-03-14,Malta,Moderna,231
2021-03-15,Malta,Oxford/AstraZeneca,1520
2021-03-15,Malta,Moderna,231
2021-03-16,Malta,Oxford/AstraZeneca,1520
2021-03-16,Malta,Moderna,231
2021-03-17,Malta,Oxford/AstraZeneca,1520
2021-03-17,Malta,Moderna,231
2021-03-18,Malta,Oxford/AstraZeneca,1520
2021-03-18,Malta,Moderna,231
2021-03-19,Malta,Oxford/AstraZeneca,710
2021-03-19,Malta,Moderna,870
2021-03-20,Malta,Oxford/AstraZeneca,710
2021-03-20,Malta,Moderna,870
2021-03-21,Malta,Oxford/AstraZeneca,710
2021-03-21,Malta,Moderna,870
2021-03-22,Malta,Oxford/AstraZeneca,710
2021-03-22,Malta,Moderna,870
2021-03-23,Malta,Oxford/AstraZeneca,710
2021-03-23,Malta,Moderna,870
2021-03-24,Malta,Oxford/AstraZeneca,710
2021-03-24,Malta,Moderna,870
2021-03-25,Malta,Oxford/AstraZeneca,710
2021-03-25,Malta,Moderna,870
2021-03-26,Malta,Oxford/AstraZeneca,1594
2021-03-26,Malta,Moderna,206
2021-03-27,Malta,Oxford/AstraZeneca,1594
2021-03-27,Malta,Moderna,206
2021-03-28,Malta,Oxford/AstraZeneca,1594
2021-03-28,Malta,Moderna,206
2021-03-29,Malta,Oxford/AstraZeneca,1594
2021-03-29,Malta,Moderna,206
2021-03-30,Malta,Oxford/AstraZeneca,1594
2021-03-30,Malta,Moderna,206
2021-03-31,Malta,Oxford/AstraZeneca,1594
2021-03-31,Malta,Moderna,206
2021-04-01,Malta,Oxford/AstraZeneca,1594
2021-04-01,Malta,Moderna,206
2021-04-02,Malta,Oxford/AstraZeneca,1636
2021-04-02,Malta,Moderna,80
2021-04-03,Malta,Oxford/AstraZeneca,1636
2021-04-03,Malta,Moderna,80
2021-04-04,Malta,Oxford/AstraZeneca,1636
2021-04-04,Malta,Moderna,80
2021-04-05,Malta,Oxford/AstraZeneca,1636
2021-04-05,Malta,Moderna,80
2021-04-06,Malta,Oxford/AstraZeneca,1636
2021-04-06,Malta,Moderna,80
2021-04-07,Malta,Oxford/AstraZeneca,1636
2021-04-07,Malta,Moderna,80
2021-04-08,Malta,Oxford/AstraZeneca,1636
2021-04-08,Malta,Moderna,80
2021-04-09,Malta,Oxford/AstraZeneca,1552
2021-04-09,Malta,Moderna,283
2021-04-10,Malta,Oxford/AstraZeneca,1552
2021-04-10,Malta,Moderna,283
2021-04-11,Malta,Oxford/AstraZeneca,1552
2021-04-11,Malta,Moderna,283
2021-04-12,Malta,Oxford/AstraZeneca,1552
2021-04-12,Malta,Moderna,283
2021-04-13,Malta,Oxford/AstraZeneca,1552
2021-04-13,Malta,Moderna,283
2021-04-14,Malta,Oxford/AstraZeneca,1552
2021-04-14,Malta,Moderna,283
2021-04-15,Malta,Oxford/AstraZeneca,1552
2021-04-15,Malta,Moderna,283
2021-04-16,Malta,Oxford/AstraZeneca,2499
2021-04-16,Malta,Moderna,758
2021-04-17,Malta,Oxford/AstraZeneca,2499
2021-04-17,Malta,Moderna,758
2021-04-18,Malta,Oxford/AstraZeneca,2499
2021-04-18,Malta,Moderna,758
2021-04-19,Malta,Oxford/AstraZeneca,2499
2021-04-19,Malta,Moderna,758
2021-04-20,Malta,Oxford/AstraZeneca,2499
2021-04-20,Malta,Moderna,758
2021-04-21,Malta,Oxford/AstraZeneca,2499
2021-04-21,Malta,Moderna,758
2021-04-22,Malta,Oxford/AstraZeneca,2499
2021-04-22,Malta,Moderna,758
2021-04-23,Malta,Oxford/AstraZeneca,963
2021-04-23,Malta,Moderna,191
2021-04-24,Malta,Oxford/AstraZeneca,963
2021-04-24,Malta,Moderna,191
2021-04-25,Malta,Oxford/AstraZeneca,963
2021-04-25,Malta,Moderna,191
2021-04-26,Malta,Oxford/AstraZeneca,963
2021-04-26,Malta,Moderna,191
2021-04-27,Malta,Oxford/AstraZeneca,963
2021-04-27,Malta,Moderna,191
2021-04-28,Malta,Oxford/AstraZeneca,963
2021-04-28,Malta,Moderna,191
2021-04-29,Malta,Oxford/AstraZeneca,963
2021-04-29,Malta,Moderna,191
2021-04-30,Malta,Oxford/AstraZeneca,836
2021-04-30,Malta,Moderna,235
2021-05-01,Malta,Oxford/AstraZeneca,836
2021-05-01,Malta,Moderna,235
2021-05-02,Malta,Oxford/AstraZeneca,836
2021-05-02,Malta,Moderna,235
2021-05-03,Malta,Oxford/AstraZeneca,836
2021-05-03,Malta,Moderna,235
2021-05-04,Malta,Oxford/AstraZeneca,836
2021-05-04,Malta,Moderna,235
2021-05-05,Malta,Oxford/AstraZeneca,836
2021-05-05,Malta,Moderna,235
2021-05-06,Malta,Oxford/AstraZeneca,836
2021-05-06,Malta,Moderna,235
2021-05-07,Malta,Oxford/AstraZeneca,2394
2021-05-07,Malta,Moderna,391
2021-05-08,Malta,Oxford/AstraZeneca,2394
2021-05-08,Malta,Moderna,391
2021-05-09,Malta,Oxford/AstraZeneca,2394
2021-05-09,Malta,Moderna,391
2021-05-10,Malta,Oxford/AstraZeneca,2394
2021-05-10,Malta,Moderna,391
2021-05-11,Malta,Oxford/AstraZeneca,2394
2021-05-11,Malta,Moderna,391
2021-05-12,Malta,Oxford/AstraZeneca,2394
2021-05-12,Malta,Moderna,391
2021-05-13,Malta,Oxford/AstraZeneca,2394
2021-05-13,Malta,Moderna,391
2021-05-14,Malta,Oxford/AstraZeneca,2219
2021-05-14,Malta,Moderna,343
2021-05-15,Malta,Oxford/AstraZeneca,2219
2021-05-15,Malta,Moderna,343
2021-05-16,Malta,Oxford/AstraZeneca,2219
2021-05-16,Malta,Moderna,343
2021-05-17,Malta,Oxford/AstraZeneca,2219
2021-05-17,Malta,Moderna,343
2021-05-18,Malta,Oxford/AstraZeneca,2219
2021-05-18,Malta,Moderna,343
2021-05-19,Malta,Oxford/AstraZeneca,2219
2021-05-19,Malta,Moderna,343
2021-05-20,Malta,Oxford/AstraZeneca,2219
2021-05-20,Malta,Moderna,343
2021-05-21,Malta,Oxford/AstraZeneca,1648
2021-05-21,Malta,Moderna,470
2021-05-22,Malta,Oxford/AstraZeneca,1648
2021-05-22,Malta,Moderna,470
2021-05-23,Malta,Oxford/AstraZeneca,1648
2021-05-23,Malta,Moderna,470
2021-05-24,Malta,Oxford/AstraZeneca,1648
2021-05-24,Malta,Moderna,470
2021-05-25,Malta,Oxford/AstraZeneca,1648
2021-05-25,Malta,Moderna,470
2021-05-26,Malta,Oxford/AstraZeneca,1648
2021-05-26,Malta,Moderna,470
2021-05-27,Malta,Oxford/AstraZeneca,1648
2021-05-27,Malta,Moderna,470
