date,location,vaccine,total_vaccinations
2021-03-04,Norway,Oxford/AstraZeneca,7028
2021-03-05,Norway,Moderna,2032
2021-03-05,Norway,Oxford/AstraZeneca,4856
2021-03-06,Norway,Moderna,2032
2021-03-06,Norway,Oxford/AstraZeneca,4856
2021-03-07,Norway,Moderna,2032
2021-03-07,Norway,Oxford/AstraZeneca,4856
2021-03-08,Norway,Moderna,2032
2021-03-08,Norway,Oxford/AstraZeneca,4856
2021-03-09,Norway,Moderna,2032
2021-03-09,Norway,Oxford/AstraZeneca,4856
2021-03-10,Norway,Moderna,2032
2021-03-10,Norway,Oxford/AstraZeneca,4856
2021-03-11,Norway,Moderna,2032
2021-03-11,Norway,Oxford/AstraZeneca,4856
2021-03-12,Norway,Moderna,864
2021-03-12,Norway,Oxford/AstraZeneca,90
2021-03-13,Norway,Moderna,864
2021-03-13,Norway,Oxford/AstraZeneca,90
2021-03-14,Norway,Moderna,864
2021-03-14,Norway,Oxford/AstraZeneca,90
2021-03-15,Norway,Moderna,864
2021-03-15,Norway,Oxford/AstraZeneca,90
2021-03-16,Norway,Moderna,864
2021-03-16,Norway,Oxford/AstraZeneca,90
2021-03-17,Norway,Moderna,864
2021-03-17,Norway,Oxford/AstraZeneca,90
2021-03-18,Norway,Moderna,864
2021-03-18,Norway,Oxford/AstraZeneca,90
2021-03-19,Norway,Moderna,2575
2021-03-19,Norway,Oxford/AstraZeneca,66
2021-03-20,Norway,Moderna,2575
2021-03-20,Norway,Oxford/AstraZeneca,66
2021-03-21,Norway,Moderna,2575
2021-03-21,Norway,Oxford/AstraZeneca,66
2021-03-22,Norway,Moderna,2575
2021-03-22,Norway,Oxford/AstraZeneca,66
2021-03-23,Norway,Moderna,2575
2021-03-23,Norway,Oxford/AstraZeneca,66
2021-03-24,Norway,Moderna,2575
2021-03-24,Norway,Oxford/AstraZeneca,66
2021-03-25,Norway,Moderna,2575
2021-03-25,Norway,Oxford/AstraZeneca,66
2021-03-26,Norway,Moderna,2907
2021-03-26,Norway,Oxford/AstraZeneca,48
2021-03-27,Norway,Moderna,2907
2021-03-27,Norway,Oxford/AstraZeneca,48
2021-03-28,Norway,Moderna,2907
2021-03-28,Norway,Oxford/AstraZeneca,48
2021-03-29,Norway,Moderna,2907
2021-03-29,Norway,Oxford/AstraZeneca,48
2021-03-30,Norway,Moderna,2907
2021-03-30,Norway,Oxford/AstraZeneca,48
2021-03-31,Norway,Moderna,2907
2021-03-31,Norway,Oxford/AstraZeneca,48
2021-04-01,Norway,Moderna,2907
2021-04-01,Norway,Oxford/AstraZeneca,48
2021-04-02,Norway,Moderna,2689
2021-04-02,Norway,Oxford/AstraZeneca,45
2021-04-03,Norway,Moderna,2689
2021-04-03,Norway,Oxford/AstraZeneca,45
2021-04-04,Norway,Moderna,2689
2021-04-04,Norway,Oxford/AstraZeneca,45
2021-04-05,Norway,Moderna,2689
2021-04-05,Norway,Oxford/AstraZeneca,45
2021-04-06,Norway,Moderna,2689
2021-04-06,Norway,Oxford/AstraZeneca,45
2021-04-07,Norway,Moderna,2689
2021-04-07,Norway,Oxford/AstraZeneca,45
2021-04-08,Norway,Moderna,2689
2021-04-08,Norway,Oxford/AstraZeneca,45
2021-04-09,Norway,Moderna,5804
2021-04-09,Norway,Oxford/AstraZeneca,52
2021-04-10,Norway,Moderna,5804
2021-04-10,Norway,Oxford/AstraZeneca,52
2021-04-11,Norway,Moderna,5804
2021-04-11,Norway,Oxford/AstraZeneca,52
2021-04-12,Norway,Moderna,5804
2021-04-12,Norway,Oxford/AstraZeneca,52
2021-04-13,Norway,Moderna,5804
2021-04-13,Norway,Oxford/AstraZeneca,52
2021-04-14,Norway,Moderna,5804
2021-04-14,Norway,Oxford/AstraZeneca,52
2021-04-15,Norway,Moderna,5804
2021-04-15,Norway,Oxford/AstraZeneca,52
2021-04-16,Norway,Moderna,2367
2021-04-16,Norway,Oxford/AstraZeneca,46
2021-04-17,Norway,Moderna,2367
2021-04-17,Norway,Oxford/AstraZeneca,46
2021-04-18,Norway,Moderna,2367
2021-04-18,Norway,Oxford/AstraZeneca,46
2021-04-19,Norway,Moderna,2367
2021-04-19,Norway,Oxford/AstraZeneca,46
2021-04-20,Norway,Moderna,2367
2021-04-20,Norway,Oxford/AstraZeneca,46
2021-04-21,Norway,Moderna,2367
2021-04-21,Norway,Oxford/AstraZeneca,46
2021-04-22,Norway,Moderna,2367
2021-04-22,Norway,Oxford/AstraZeneca,46
2021-04-23,Norway,Moderna,1514
2021-04-23,Norway,Oxford/AstraZeneca,48
2021-04-24,Norway,Moderna,1514
2021-04-24,Norway,Oxford/AstraZeneca,48
2021-04-25,Norway,Moderna,1514
2021-04-25,Norway,Oxford/AstraZeneca,48
2021-04-26,Norway,Moderna,1514
2021-04-26,Norway,Oxford/AstraZeneca,48
2021-04-27,Norway,Moderna,1514
2021-04-27,Norway,Oxford/AstraZeneca,48
2021-04-28,Norway,Moderna,1514
2021-04-28,Norway,Oxford/AstraZeneca,48
2021-04-29,Norway,Moderna,1514
2021-04-29,Norway,Oxford/AstraZeneca,48
2021-04-30,Norway,Moderna,2225
2021-04-30,Norway,Oxford/AstraZeneca,63
2021-05-01,Norway,Moderna,2225
2021-05-01,Norway,Oxford/AstraZeneca,63
2021-05-02,Norway,Moderna,2225
2021-05-02,Norway,Oxford/AstraZeneca,63
2021-05-03,Norway,Moderna,2225
2021-05-03,Norway,Oxford/AstraZeneca,63
2021-05-04,Norway,Moderna,2225
2021-05-04,Norway,Oxford/AstraZeneca,63
2021-05-05,Norway,Moderna,2225
2021-05-05,Norway,Oxford/AstraZeneca,63
2021-05-06,Norway,Moderna,2225
2021-05-06,Norway,Oxford/AstraZeneca,63
2021-05-07,Norway,Moderna,4644
2021-05-07,Norway,Oxford/AstraZeneca,55
2021-05-08,Norway,Moderna,4644
2021-05-08,Norway,Oxford/AstraZeneca,55
2021-05-09,Norway,Moderna,4644
2021-05-09,Norway,Oxford/AstraZeneca,55
2021-05-10,Norway,Moderna,4644
2021-05-10,Norway,Oxford/AstraZeneca,55
2021-05-11,Norway,Moderna,4644
2021-05-11,Norway,Oxford/AstraZeneca,55
2021-05-12,Norway,Moderna,4644
2021-05-12,Norway,Oxford/AstraZeneca,55
2021-05-13,Norway,Moderna,4644
2021-05-13,Norway,Oxford/AstraZeneca,55
2021-05-14,Norway,Moderna,3099
2021-05-14,Norway,Oxford/AstraZeneca,68
2021-05-15,Norway,Moderna,3099
2021-05-15,Norway,Oxford/AstraZeneca,68
2021-05-16,Norway,Moderna,3099
2021-05-16,Norway,Oxford/AstraZeneca,68
2021-05-17,Norway,Moderna,3099
2021-05-17,Norway,Oxford/AstraZeneca,68
2021-05-18,Norway,Moderna,3099
2021-05-18,Norway,Oxford/AstraZeneca,68
2021-05-19,Norway,Moderna,3099
2021-05-19,Norway,Oxford/AstraZeneca,68
2021-05-20,Norway,Moderna,3099
2021-05-20,Norway,Oxford/AstraZeneca,68
2021-05-21,Norway,Moderna,6203
2021-05-21,Norway,Oxford/AstraZeneca,85
2021-05-22,Norway,Moderna,6203
2021-05-22,Norway,Oxford/AstraZeneca,85
2021-05-23,Norway,Moderna,6203
2021-05-23,Norway,Oxford/AstraZeneca,85
2021-05-24,Norway,Moderna,6203
2021-05-24,Norway,Oxford/AstraZeneca,85
2021-05-25,Norway,Moderna,6203
2021-05-25,Norway,Oxford/AstraZeneca,85
2021-05-26,Norway,Moderna,6203
2021-05-26,Norway,Oxford/AstraZeneca,85
2021-05-27,Norway,Moderna,6203
2021-05-27,Norway,Oxford/AstraZeneca,85
2021-05-28,Norway,Moderna,6957
2021-05-28,Norway,Oxford/AstraZeneca,72
2021-05-29,Norway,Moderna,6957
2021-05-29,Norway,Oxford/AstraZeneca,72
2021-05-30,Norway,Moderna,6957
2021-05-30,Norway,Oxford/AstraZeneca,72
2021-05-31,Norway,Moderna,6957
2021-05-31,Norway,Oxford/AstraZeneca,72
2021-06-01,Norway,Moderna,6957
2021-06-01,Norway,Oxford/AstraZeneca,72
2021-06-02,Norway,Moderna,6957
2021-06-02,Norway,Oxford/AstraZeneca,72
2021-06-03,Norway,Moderna,6957
2021-06-03,Norway,Oxford/AstraZeneca,72
2021-06-04,Norway,Moderna,7051
2021-06-04,Norway,Oxford/AstraZeneca,83
2021-06-05,Norway,Moderna,7051
2021-06-05,Norway,Oxford/AstraZeneca,83
2021-06-06,Norway,Moderna,7051
2021-06-06,Norway,Oxford/AstraZeneca,83
2021-06-07,Norway,Moderna,7051
2021-06-07,Norway,Oxford/AstraZeneca,83
2021-06-08,Norway,Moderna,7051
2021-06-08,Norway,Oxford/AstraZeneca,83
2021-06-09,Norway,Moderna,7051
2021-06-09,Norway,Oxford/AstraZeneca,83
2021-06-10,Norway,Moderna,7051
2021-06-10,Norway,Oxford/AstraZeneca,83
2021-06-11,Norway,Moderna,5039
2021-06-11,Norway,Oxford/AstraZeneca,62
2021-06-12,Norway,Moderna,5039
2021-06-12,Norway,Oxford/AstraZeneca,62
2021-06-13,Norway,Moderna,5039
2021-06-13,Norway,Oxford/AstraZeneca,62
2021-06-14,Norway,Moderna,5039
2021-06-14,Norway,Oxford/AstraZeneca,62
2021-06-15,Norway,Moderna,5039
2021-06-15,Norway,Oxford/AstraZeneca,62
2021-06-16,Norway,Moderna,5039
2021-06-16,Norway,Oxford/AstraZeneca,62
2021-06-17,Norway,Moderna,5039
2021-06-17,Norway,Oxford/AstraZeneca,62
2021-06-18,Norway,Moderna,5895
2021-06-18,Norway,Oxford/AstraZeneca,51
2021-06-19,Norway,Moderna,5895
2021-06-19,Norway,Oxford/AstraZeneca,51
2021-06-20,Norway,Moderna,5895
2021-06-20,Norway,Oxford/AstraZeneca,51
2021-06-21,Norway,Moderna,5895
2021-06-21,Norway,Oxford/AstraZeneca,51
2021-06-22,Norway,Moderna,5895
