truth,pred,pred_sir,fecha,xprice
187.0,191.82392095030897,200.9371345137326,2021-02-08,0
187.0,178.5304721021048,198.1469515883299,2021-02-08,0
1117.0,821.0,210.0,2021-02-09,0
1117.0,543.0,210.0,2021-02-09,0
1209.0,569.0,164.0,2021-02-10,0
1209.0,421.0,164.0,2021-02-10,0
906.0,761.0,146.0,2021-02-11,0
906.0,476.0,146.0,2021-02-11,0
1066.0,772.0,284.0,2021-02-12,0
1066.0,497.0,284.0,2021-02-12,0
963.0,232.0,251.0,2021-02-13,0
963.0,430.0,251.0,2021-02-13,0
499.0,65.0,0.0,2021-02-14,0
499.0,152.0,0.0,2021-02-14,0
167.0,1074.0,0.0,2021-02-15,0
167.0,546.0,0.0,2021-02-15,0
1076.0,919.0,478.0,2021-02-16,0
1352.0,418.0,253.0,2021-02-17,0
1230.0,844.0,420.0,2021-02-18,0
1065.0,515.0,467.0,2021-02-19,0
1440.0,225.0,75.0,2021-02-20,0
532.0,47.0,0.0,2021-02-21,0
235.0,220.22488938237976,256.2812078776814,2021-02-22,0
235.0,243.81194899022736,221.62886082433724,2021-02-22,0
1923.0,1286.0,311.0,2021-02-23,0
1923.0,185.0,311.0,2021-02-23,0
1797.0,1131.0,100.0,2021-02-24,0
1797.0,203.0,100.0,2021-02-24,0
1706.0,880.0,557.0,2021-02-25,0
1706.0,595.0,557.0,2021-02-25,0
1801.0,1122.0,342.0,2021-02-26,0
1801.0,420.0,342.0,2021-02-26,0
1658.0,307.0,0.0,2021-02-27,0
1658.0,252.0,0.0,2021-02-27,0
1057.0,99.0,0.0,2021-02-28,0
1057.0,144.0,0.0,2021-02-28,0
340.0,1791.0,0.0,2021-03-01,0
340.0,953.0,0.0,2021-03-01,0
