truth,pred,pred_sir,fecha,xprice
701.0,738.1986005837365,735.8626395030468,2021-04-05,0
701.0,757.6015075123798,642.595825448971,2021-04-05,0
3822.0,571.0,1317.0,2021-04-06,0
3822.0,4093.0,1317.0,2021-04-06,0
0.0,0.0,2447.0,2021-04-07,0
0.0,4171.0,2447.0,2021-04-07,0
7474.0,0.0,974.0,2021-04-08,0
7474.0,3646.0,974.0,2021-04-08,0
2833.0,0.0,1190.0,2021-04-09,0
2833.0,3972.0,1190.0,2021-04-09,0
2678.0,0.0,0.0,2021-04-10,0
2678.0,1861.0,0.0,2021-04-10,0
1234.0,0.0,0.0,2021-04-11,0
1234.0,701.0,0.0,2021-04-11,0
415.0,3018.0,0.0,2021-04-12,0
415.0,0.0,0.0,2021-04-12,0
3083.0,0.0,1794.0,2021-04-13,0
2870.0,7474.0,1069.0,2021-04-14,0
2409.0,0.0,729.0,2021-04-15,0
2058.0,2678.0,1219.0,2021-04-16,0
2007.0,0.0,0.0,2021-04-17,0
975.0,415.0,0.0,2021-04-18,0
378.0,381.9457507261339,384.38639081305615,2021-04-19,0
378.0,412.92239021817056,362.2863530255167,2021-04-19,0
2462.0,2568.0,837.0,2021-04-20,0
2462.0,0.0,837.0,2021-04-20,0
2009.0,2409.0,278.0,2021-04-21,0
2009.0,0.0,278.0,2021-04-21,0
1932.0,2058.0,89.0,2021-04-22,0
1932.0,0.0,89.0,2021-04-22,0
0.0,2007.0,699.0,2021-04-23,0
0.0,0.0,699.0,2021-04-23,0
3221.0,975.0,0.0,2021-04-24,0
3221.0,0.0,0.0,2021-04-24,0
670.0,378.0,0.0,2021-04-25,0
670.0,0.0,0.0,2021-04-25,0
370.0,2462.0,0.0,2021-04-26,0
370.0,0.0,0.0,2021-04-26,0
